,score,source
0,-10.27,fox-news
1,34.0,fox-news
2,0.0,fox-news
3,0.0,fox-news
4,0.0,fox-news
5,0.0,fox-news
6,0.0,fox-news
7,0.0,fox-news
8,0.0,fox-news
9,0.0,fox-news
10,0.0,fox-news
11,36.12,fox-news
12,55.74,fox-news
13,0.0,fox-news
14,0.0,fox-news
15,-55.74,fox-news
16,80.2,fox-news
17,-86.25,fox-news
18,0.0,fox-news
19,0.0,fox-news
20,49.39,fox-news
21,-57.19,fox-news
22,31.82,fox-news
23,0.0,fox-news
24,-12.8,fox-news
25,79.64,fox-news
26,40.19,fox-news
27,-29.6,fox-news
28,67.05,fox-news
29,0.0,fox-news
30,70.96,fox-news
31,94.75,fox-news
32,0.0,fox-news
33,-55.74,fox-news
34,80.2,fox-news
35,20.23,fox-news
36,2.58,fox-news
37,-65.97,fox-news
38,59.94,fox-news
39,0.0,fox-news
40,0.0,fox-news
41,-83.13,fox-news
42,0.0,fox-news
43,0.0,fox-news
44,0.0,fox-news
45,59.94,fox-news
46,61.24,fox-news
47,73.51,fox-news
48,-69.08,fox-news
49,-70.96,fox-news
50,-51.06,fox-news
51,7.72,fox-news
52,-25.0,fox-news
53,0.0,fox-news
54,-25.0,fox-news
55,7.72,fox-news
56,34.0,fox-news
57,0.0,fox-news
58,0.0,fox-news
59,81.26,fox-news
60,0.0,fox-news
61,0.0,fox-news
62,20.23,fox-news
63,27.16,fox-news
64,0.0,fox-news
65,7.72,fox-news
66,0.0,fox-news
67,51.06,fox-news
68,51.06,fox-news
69,0.0,fox-news
70,0.0,fox-news
71,0.0,fox-news
72,57.19,fox-news
73,-39.12,fox-news
74,0.0,fox-news
75,-54.23,fox-news
76,86.34,fox-news
77,-51.06,fox-news
78,0.0,fox-news
79,0.0,fox-news
80,-83.13,fox-news
81,27.82,fox-news
82,0.0,fox-news
83,0.0,fox-news
84,-81.76,fox-news
85,-77.24,fox-news
86,-52.42,fox-news
87,0.0,fox-news
88,-29.6,fox-news
89,-52.67,fox-news
90,0.0,fox-news
91,0.0,fox-news
92,0.0,fox-news
93,-10.27,fox-news
94,0.0,fox-news
95,72.69,fox-news
96,-59.94,fox-news
97,59.83,fox-news
98,0.0,fox-news
99,31.82,fox-news
100,59.94,fox-news
101,-34.0,fox-news
102,5.16,fox-news
103,-30.71,fox-news
104,40.19,fox-news
105,0.0,fox-news
