,token,count
0,Trump,9
1,Greta Thunberg,5
2,Republicans,4
3,House,4
4,President Trump,4
5,Senate,3
6,Democrats,3
7,D.C,1
8,Democratic Party,1
9,Congresswoman Rodgers,1
10,Americans,1
11,Conservation Coalition,1
12,Joe Biden,1
13,President Bill Clinton,1
14,Richard Nixon,1
15,Barron Trump,1
16,Pamela Karlan,1
17,Where,1
18,Mr. Collins,1
19,President Clinton,1
20,Dan Gainor,1
21,Cats,1
22,Memory.,1
23,MSNBC,1
24,Twitter,1
25,Hitler,1
26,Jews,1
27,New York Times,1
28,Times,1
29,ASSAILING,1
30,Baquet,1
31,Turkey,1
32,U.S.,1
33,America,1
34,ABC,1
35,Sandmann,1
36,Covington,1
37,Avenatti,1
38,Stelter,1
39,Glenn Greenwald,1
40,*3 years*,1
41,Planet,1
42,Parliament,1
43,Decade,1
44,COP,1
45,September,1
46,Australia,1
47,Climate,1
48,Oxfam,1
49,Africa,1
50,December,1
51,Labour Party,1
52,Labour,1
53,Jeremy Corbyn,1
54,Sweden,1
55,Remain,1
