,token,count
0,world,174
1,year,164
2,time,116
3,people,109
4,us,93
5,trump,88
6,president,84
7,un,82
8,person,72
9,madrid,71
10,conference,66
11,one,58
12,summit,57
13,cop25,56
14,activist,55
15,new,44
16,countries,44
17,leaders,40
18,2019,38
19,says,38
20,global,38
21,action,38
22,magazine,37
23,around,36
24,also,36
25,talks,36
26,paris,35
27,first,34
28,carbon,34
29,think,33
30,young,33
31,named,30
32,activists,30
33,take,29
34,emissions,29
35,mr,29
36,problem,28
37,back,27
38,next,27
39,told,27
40,atlantic,26
41,agreement,26
42,uk,26
43,going,25
44,chile,24
45,united,24
46,across,24
47,make,24
48,could,24
49,media,23
50,twitter,22
51,‘,22
52,message,22
53,environmental,22
54,government,22
55,spain,21
56,school,21
57,worldwide,21
58,friday,21
59,things,21
60,travel,20
61,country,20
62,many,20
63,teenager,20
64,sailing,19
65,boat,19
66,tweeted,19
67,house,19
68,report,19
69,protests,19
70,years,19
71,sail,18
72,last,18
73,white,18
74,science,18
75,need,18
76,saying,18
77,family,18
78,chill,18
79,2020,18
80,really,18
81,'re,17
82,warming,17
83,host,17
84,must,17
85,anger,17
86,management,17
87,get,17
88,protest,16
89,impeachment,16
90,wall,16
91,movement,16
92,day,16
93,called,15
94,say,15
95,protesters,15
96,social,15
97,meghan,15
98,meeting,15
99,cop,15
100,big,15
101,today,15
102,centre,15
103,16-year-old,14
104,well,14
105,women,14
106,event,14
107,barron,14
108,son,14
109,negotiations,14
110,thousands,14
111,crisis,14
112,know,13
113,talk,13
114,fox,13
115,election,13
116,news,13
117,set,12
118,use,12
119,top,12
120,scientists,12
121,issue,12
122,break,12
123,former,12
124,18,12
125,father,12
126,took,12
127,targets,12
128,teenage,11
129,flying,11
130,put,11
131,sure,11
132,hold,11
133,donald,11
134,real,11
135,according,11
136,europe,10
137,attend,10
138,press,10
139,show,10
140,good,10
141,whistleblower,10
142,crowd,10
143,christmas,10
144,others,10
145,leader,10
146,strike,10
147,politicians,10
148,200,10
149,days,10
150,gas,10
151,eu,10
152,'ve,10
153,4,10
154,glasgow,10
155,series,10
156,planet,10
157,especially,10
158,huge,10
159,million,10
160,important,10
161,choice,9
162,stores,9
163,mccain,9
164,thursday,9
165,great,9
166,live,9
167,squad,9
168,greenhouse,9
169,2050,9
170,health,9
171,sir,9
172,cost,9
173,guest,9
174,programme,9
175,perry,9
176,cop26,9
177,effects,9
178,whitelum,9
179,carausu,9
180,past,9
181,way,8
182,taking,8
183,week,8
184,liberal,8
185,black,8
186,trains,8
187,train,8
188,sitting,8
189,deutsche,8
190,bahn,8
191,seat,8
192,step,8
193,democrats,8
194,karlan,8
195,parliament,8
196,observers,8
197,stop,8
198,two,8
199,spanish,8
200,david,8
201,santiago,8
202,moved,8
203,students,8
204,work,8
205,protect,7
206,along,7
207,hong,7
208,kong,7
209,swedish,7
210,awareness,7
211,year.,7
212,nation,7
213,schumer,7
214,senate,7
215,'m,7
216,trial,7
217,politics,7
218,outside,7
219,life,7
220,question,7
221,added,7
222,industry,7
223,air,7
224,aircraft,7
225,long,7
226,reduce,7
227,la,7
228,vagabonde,7
229,lead,7
230,minister,7
231,home,7
232,aim,7
233,announcement,7
234,fired,7
235,brazil,7
236,tuesday,6
237,james,6
238,seamen,6
239,activism,6
240,university,6
241,group,6
242,italy,6
243,accountable,6
244,time.,6
245,lady,6
246,melania,6
247,attack,6
248,grisham,6
249,public,6
250,mocking,6
251,husband,6
252,percent,6
253,obama,6
254,10,6
255,poll,6
256,chose,6
257,admired,6
258,man,6
259,gallup,6
260,conducted,6
261,participants,6
262,received,6
263,2018,6
264,mother,6
265,parents,6
266,made,6
267,fridaysforfuture,6
268,proposals,6
269,started,6
270,decade,6
271,negotiators,6
272,speech,6
273,months,6
274,points,6
275,record,6
276,england,6
277,average,6
278,14,6
279,2,6
280,history,6
281,votes,6
282,15,6
283,ever,6
284,holiday,6
285,rest.,6
286,london,6
287,needs,6
288,seemingly,6
289,special,6
290,future,6
291,australia,6
292,carry-over,6
293,credits,6
294,queen,6
295,prince,6
296,royal,6
297,church,6
298,service,6
299,britain,6
300,traditional,6
301,philip,6
302,gave,6
303,harry,6
304,cities,6
305,capital,6
306,stage,6
307,honour,6
308,right,6
309,chills,6
310,sooner,5
311,expected,5
312,venue,5
313,unrest,5
314,traveled,5
315,times,5
316,lisbon,5
317,ocean,5
318,catamaran,5
319,using,5
320,artist,5
321,indigenous,5
322,amazon,5
323,three,5
324,go,5
325,jeremy,5
326,richard,5
327,cars,5
328,bit,5
329,car,5
330,santa,5
331,ride,5
332,shortlist,5
333,pelosi,5
334,nancy,5
335,finalists,5
336,including,5
337,megan,5
338,rapinoe,5
339,inquiry,5
340,running,5
341,honor,5
342,underage,5
343,behar,5
344,'person,5
345,view,5
346,argued,5
347,barred,5
348,morgan,5
349,progress,5
350,part,5
351,major,5
352,campaigners,5
353,sit,5
354,loss,5
355,damage,5
356,rising,5
357,nikki,5
358,quite,5
359,together,5
360,wanted,5
361,see,5
362,spent,5
363,protocol,5
364,national,5
365,tim,5
366,emirates,5
367,airline,5
368,radio,5
369,edit,5
370,editors,5
371,supreme,5
372,court,5
373,baroness,5
374,hale,5
375,george,5
376,moore,5
377,optimistic,5
378,influence,5
379,growing,5
380,prof,5
381,events,5
382,scottish,5
383,november,5
384,working,5
385,scotland,5
386,old,5
387,fashioned,5
388,movie,5
389,friend,5
390,quantum,5
391,ice,5
392,environment,5
393,much,5
394,space,5
395,'put,5
396,comment,5
397,turin,5
398,phrase,5
399,firing,5
400,language,5
401,saturday,5
402,means,5
403,'ll,5
404,end,5
405,lot,5
406,happening,5
407,tv,5
408,got,5
409,movies,5
410,children,5
411,medical,5
412,temperatures,5
413,poses,5
414,threats,5
415,unevenly,5
416,distributed,5
417,among,5
418,harmed,5
419,teen,5
420,trip,5
421,let,5
422,25,5
423,oxfam,5
424,late,5
425,found,5
426,degrees,5
427,beat,5
428,morrison,5
429,scott,5
430,picture,5
431,violence,5
432,posted,5
433,plastic,5
434,bags,5
435,thailand,5
436,lilly,5
437,single-use,5
438,bag,5
439,ban,5
440,bangkok,5
441,demonstration,5
442,al,5
443,jazeera,5
444,casa,5
445,encendida,5
446,justice,5
447,guterres,5
448,ifema,5
449,measures,5
450,mataran,5
451,ruiz,5
452,euros,5
453,latin,5
454,america,5
455,weeks,5
456,munoz,5
457,international,5
458,avoid,5
459,footprint,5
460,joined,5
461,delegates,5
462,flew,5
463,criticised,5
464,leaving,5
465,bolsonaro,4
466,brat,4
467,brazilian,4
468,murdered,4
469,trying,4
470,deforestation,4
471,'brat,4
472,jair,4
473,wrote,4
474,gutfeld,4
475,perino,4
476,co-host,4
477,child,4
478,dana,4
479,famous,4
480,cobb,4
481,fly,4
482,hayhoe,4
483,flights,4
484,attari,4
485,remotely,4
486,study,4
487,nations,4
488,shopping,4
489,states,4
490,extinction,4
491,order,4
492,discuss,4
493,snowman,4
494,elves,4
495,mckinnon,4
496,comes,4
497,warns,4
498,north,4
499,pole,4
500,drown,4
501,sanders,4
502,omar,4
503,hampshire,4
504,rep.,4
505,member,4
506,state,4
507,congresswoman,4
508,endorsed,4
509,israel,4
510,extraordinary,4
511,democratic,4
512,brien,4
513,daily,4
514,beast,4
515,headline,4
516,misleading,4
517,bongino,4
518,soledad,4
519,wildly,4
520,explained,4
521,hard,4
522,attacking,4
523,park,4
524,hearing,4
525,rally,4
526,warren,4
527,central,4
528,earlier,4
529,deserves,4
530,privacy,4
531,film,4
532,list,4
533,2016,4
534,campaign,4
535,hollywood,4
536,story,4
537,script,4
538,sabotaging,4
