,score,source,citation
0,-10.27,fox-news,"“It turns out I’ve traveled half around the world, the wrong way:) Now I need to find a way to cross the Atlantic in November... If anyone could help me find transport I would be so grateful,”"
1,34.0,fox-news,“to highlight the fact that you can't live sustainably in today’s society. You have to go to the extreme.”
2,0.0,fox-news,“Land ahoy!”
3,0.0,fox-news,"“Day 20. Our last day on the ocean! We can now almost smell land! We expect to arrive at Doca de Santo Amaro, Lisbon sometime between 8.00-10.00 tomorrow morning.”"
4,0.0,fox-news,“hyper-realistic”
5,0.0,fox-news,"“The thing is, the sprays I use are eco-friendly, and most of the paint is hand-painted with a roller,”"
6,0.0,fox-news,“[It is] water-based so there is zero impact.”
7,0.0,fox-news,"“We are using low-pressure cans with a minimal footprint,”"
8,0.0,fox-news,"“The cans and the boxes will also be recycled, although many of the cans will first have a second life as part of a separate art project.”"
9,0.0,fox-news,"“The lift being used is also electric, not diesel.”"
10,0.0,fox-news,“I think she won’t care.”
11,36.12,fox-news,"“I can’t be the only person that thinks the mural of Greta Thunberg in San Francisco looks like Putin, right?”"
12,55.74,fox-news,"“If 95 percent [of] people are going to like it, then my job is well done,”"
13,0.0,fox-news,“Haters gonna hate.”
14,0.0,fox-news,“brat”
15,-55.74,fox-news,"“Greta said that the Indians died because they were defending the Amazon,”"
16,80.2,fox-news,“It’s impressive that the press is giving space to a brat like that.”
17,-86.25,fox-news,“Indigenous people are being literally murdered for trying to protect the forrest (sic) from illegal deforestation. Over and over again. It is shameful that the world remains silent about this.”
18,0.0,fox-news,"“pirralha,”"
19,0.0,fox-news,"“So, ‘Greta Thunberg’ is in a photo from 120 years ago, and it’s my new favourite conspiracy,”"
20,49.39,fox-news,"“Greta’s a time traveller, from the future, and she’s here to save us.”"
21,-57.19,fox-news,"“This stuff on Greta Thunberg being a time traveller is ridiculous, there’s no such thing as time travel. Quite obviously she’s just immortal,”"
22,31.82,fox-news,"“There was a time not long ago when a ""theory"" like this would get a chuckle and if someone was seriously pushing it we may pity their instability. Nowadays any of these ""theories"" can grow legs and become ""reality"" to 1000's of Americans,”"
23,0.0,fox-news,“Person of the Year.”
24,-12.8,fox-news,"“Thunberg began a global movement by skipping school: starting in August 2018, she spent her days camped out in front of the Swedish Parliament, holding a sign painted in black letters on a white background that read Skolstrejk för klimatet: ‘School Strike for Climate,’”"
25,79.64,fox-news,"“In the 16 months since, she has addressed heads of state at the U.N., met with the Pope, sparred with the President of the United States and inspired 4 million people to join the global climate strike on September 20, 2019, in what was the largest climate demonstration in human history.”"
26,40.19,fox-news,“Thunberg is not a leader of any political party or advocacy group”
27,-29.6,fox-news,"“has no access to traditional levers of influence,”"
28,67.05,fox-news,"“an ordinary teenage girl who, in summoning the courage to speak truth to power, became the icon of a generation.”"
29,0.0,fox-news,“mass extinction”
30,70.96,fox-news,"“Her image has been celebrated in murals and Halloween costumes, and her name has been attached to everything from bike shares to beetles. Margaret Atwood compared her to Joan of Arc.”"
31,94.75,fox-news,“She seems like a very happy young girl looking forward to a bright and wonderful future. So nice to see!”
32,0.0,fox-news,“brat”
33,-55.74,fox-news,"“Greta said that the Indians died because they were defending the Amazon,”"
34,80.2,fox-news,“It’s impressive that the press is giving space to a brat like that.”
35,20.23,fox-news,"“Thunberg has become the biggest voice on the biggest issue facing the planet—and the avatar of a broader generational shift in our culture that is playing out everywhere from the campuses of Hong Kong to the halls of Congress in Washington,”"
36,2.58,fox-news,"“For sounding the alarm about humanity’s predatory relationship with the only home we have, for bringing to a fragmented world a voice that transcends backgrounds and borders, for showing us all what it might look like when a new generation leads, Greta Thunberg is TIME’s 2019 ‘Person of the Year.’”"
37,-65.97,fox-news,"“They’re taught at school, before they say ‘Mummy and Daddy’, that cars are evil, and it’s in their heads.”"
38,59.94,fox-news,“Young people don’t care about cars. How many kids now are growing up with posters of cars on their bedroom wall?”
39,0.0,fox-news,“giving up on everything”
40,0.0,fox-news,“messed up place”
41,-83.13,fox-news,"“She’s an idiot. Going round saying we’re all going to die, that’s not going to solve anything, my dear.”"
42,0.0,fox-news,“Have you seen us?!”
43,0.0,fox-news,"“I could do that, but it would achieve nothing. So instead, it’s time to talk to scientists.”"
44,0.0,fox-news,“specials”
45,59.94,fox-news,"“Just think, when the three of us started standing around a Ford Fiesta and saying, ‘I think the radio is a bit too far away’, to powering from Cambodia into Mykon with Creedence playing, it’s a world away from that.”"
46,61.24,fox-news,"“Imagine how good they would be if they said, ‘We’re not making Cash In The Attic any more’ — which is sad, because I love Cash In The Attic.”"
47,73.51,fox-news,"“It would be difficult to do a special like us. I watch Top Gear and they watch us, it’s a healthy rivalry.”"
48,-69.08,fox-news,"“My main concern was, ‘I haven’t got any money on me so if they’re all dead, who is going to pay for all the beer I’ve drunk’.”"
49,-70.96,fox-news,"“Also, being stuck on our own — usually we were surrounded by crew — you’re left thinking, ‘Am I going to die on my own?’”"
50,-51.06,fox-news,"“But to my immense disappointment, when I got off at the end, they were both there.”"
51,7.72,fox-news,"“People want to be part of the solution,”"
52,-25.0,fox-news,“Especially when they spent their whole lives with their noses stuck up against”
53,0.0,fox-news,“the climate movement eating its own.”
54,-25.0,fox-news,"“I feel real torn about that,”"
55,7.72,fox-news,“I don’t want to clip her wings.”
56,34.0,fox-news,"“It’s like having an overweight doctor giving you dieting advice,”"
57,0.0,fox-news,"“deeply embedded in how we do academic work,”"
58,0.0,fox-news,"“I don’t tell people they need to become childless, off-the-grid hermits. And I’m not one myself,”"
59,81.26,fox-news,"“I do tell people that individual action is PART of the solution, and that there are many things we can do in our everyday lives that save us money, make us healthier, make us feel better about ourselves AND decrease our environmental footprint. Why wouldn’t we do those things?”"
60,0.0,fox-news,"“They need a catalyst to get to the next step and me coming could be that catalyst,”"
